Date,Time,Store Name,Product Brand,Product Name,Product UPC,Product Price($),Product Image URL,Product URL
2023-06-07,10:12:05.386450,All Star Health,Body First,Body First Probiotic 20 Billion 240 caps,815503013859,45.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/body_first-probiotic_20_billion.htm
2023-06-07,10:12:05.388443,All Star Health,Nature's Way,Nature's Way Fortify Optima Women's Probiotic - Advanced Care (90 Billion) 30 vcaps,033674158593,32.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-primadophilus_optima_womens_90_billion.htm
2023-06-07,10:12:05.358061,All Star Health,Pure Essence,Pure Essence AdrenalStability 60 vcaps,659670130021,23.00,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/pure_essence-adrenalstability.htm
2023-06-07,10:12:05.256941,All Star Health,Garden Of Life,Garden Of Life My Kind Organics - Adrenal 120 tabs,658010121866,34.29,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/garden_of_life-my_kind_organics_adrenal.htm
2023-06-07,10:12:05.284918,All Star Health,Natural Sources,Natural Sources All Adrenal 60 caps,726511254601,5.19,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natural_sources-all_adrenal.htm
2023-06-07,10:12:05.290902,All Star Health,Gaia Herbs,Gaia Herbs Adrenal Health 120 vcaps,751063996686,42.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/gaia_herbs-system_support_adrenal_health.htm
2023-06-07,10:12:05.492983,All Star Health,CTD,Megafood Adrenal Strength 90 tabs,051494200230,59.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/megafood-adrenal_strength.htm
2023-06-07,10:12:05.438254,All Star Health,Nature's Way,Nature's Way Primadophilus 180 caps,033674068502,23.79,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natures_way-primadophilus.htm
2023-06-07,10:12:05.401434,All Star Health,Now,Now 8 Billion Acidophilus and Bifidus 60 caps,733739029300,7.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-8_billion_acidophilus_and_bifidus.htm
2023-06-07,10:12:05.354072,All Star Health,Christopher's Original Formulas,Christopher's Original Formulas Adrenal Formula 100 vcaps,084783891475,10.89,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/christophers_original_formulas-adrenal_formula.htm
2023-06-07,10:12:05.189120,All Star Health,Natural Sources,Natural Sources Raw Adrenal 60 caps,726511245609,5.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/natural_sources-raw_adrenal.htm
2023-06-07,10:12:05.249958,All Star Health,Solaray,Solaray Adrenal Caps 60 vcaps,076280051001,9.59,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/solaray-adrenal_caps.htm
2023-06-07,10:12:04.514991,All Star Health,Life Extension,Life Extension Super R-Lipoic Acid 60 vcaps,737870120865,36.00,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/life_extension-super_r-lipoic_acid.htm
2023-06-07,10:12:04.510006,All Star Health,Jarrow,Jarrow R-Alpha Lipoic Acid with Biotin 60 caps,790011200390,17.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/jarrow-r-alpha_lipoic_acid_with_biotin.htm
2023-06-07,10:12:05.457259,All Star Health,Gaia Herbs,Gaia Herbs Adrenal Health - Nightly Restore 60 vcaps,751063149389,25.59,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/gaia_herbs-adrenal_health_nightly_restore.htm
2023-06-07,10:12:05.422413,All Star Health,Nutrition Now,Nutrition Now PB 8 (14 Billion CFU) 120 vcaps,027917003573,10.45,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/nutrition_now-pb_8.htm
2023-06-07,10:12:04.505018,All Star Health,Source Naturals,Source Naturals Alpha Lipoic Acid - Timed Release (300mg) 120 tabs,021078014331,22.39,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/source_naturals-alpha_lipoic_acid_timed_release_300mg.htm
2023-06-07,10:12:04.926801,All Star Health,Now,Now Adrenal Stress Support 90 vcaps,733739033444,12.79,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-super_cortisol_support.htm
2023-06-07,10:12:05.386450,All Star Health,Body First,Body First Probiotic 20 Billion 120 caps,815503013842,26.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/body_first-probiotic_20_billion.htm
2023-06-07,10:12:04.463129,All Star Health,Now,Now Alpha Lipoic Acid (100mg) 120 vcaps,733739030412,9.79,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/now-alpha_lipoic_acid_100mg.htm
2023-06-07,10:12:04.455151,All Star Health,Jarrow,Jarrow Alpha Lipoic Sustain with Biotin 120 tabs,790011200369,21.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/jarrow-alpha_lipoic_sustain_300.htm
2023-06-07,10:12:05.284918,All Star Health,Natural Sources,Jarrow Adrenal Optimizer 120 tabs,790011290322,16.99,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/jarrow-adrenal_optimizer.htm
2023-06-07,10:12:05.290902,All Star Health,Gaia Herbs,Gaia Herbs Adrenal Health 60 vcaps,751063403009,27.19,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/gaia_herbs-system_support_adrenal_health.htm
2023-06-07,10:12:05.284918,All Star Health,Natural Sources,Garden Of Life My Kind Organics - Adrenal 120 tabs,658010121866,34.29,/images/placeholder-image-250x250.jpg,https://www.allstarhealth.com/f/garden_of_life-my_kind_organics_adrenal.htm
