Name,Street_Address,City,State,Zip-Code,Latitude,Longitude,Phone#,Loc Type,24/7 Self-Service
Circle K,4301 W Thomas Rd,Phoenix,AZ,85031,33.480033,-112.152103,,Propane Tank Exchange,False
Walmart,1607 W Bethany Home Rd,Phoenix,AZ,85015,33.522136,-112.094957,,Propane Tank Exchange,True
Circle K,6002 N 7th Ave,Phoenix,AZ,85013,33.524366,-112.082801,,Propane Tank Exchange,False
Speeds Mart,4302 W Thomas,Phoenix,AZ,85031,33.480848,-112.152218,,Propane Tank Exchange,False
Circle K,3955 E Broadway,Phoenix,AZ,85040,33.406978,-111.99584,,Propane Tank Exchange,False
Circle K,5350 N 27th Ave,Phoenix,AZ,85017,33.516474,-112.117452,,Propane Tank Exchange,False
7 Eleven,4748 E McDowell Rd,Phoenix,AZ,85008,33.466039,-111.978821,,Propane Tank Exchange,False
Circle K,2350 E Baseline Rd,Phoenix,AZ,85042,33.378386,-112.030847,,Propane Tank Exchange,False
Circle K,4402 E Osborn Rd,Phoenix,AZ,85018,33.488069,-111.986478,,Propane Tank Exchange,False
ARCO AM PM,2341 W Bethany Home Rd,Phoenix,AZ,85015,33.523674,-112.109858,,Propane Cylinder Refill,False
Circle K,6322 N 12th Street,Phoenix,AZ,85014,33.530334,-112.056626,,Propane Tank Exchange,False
Walmart,2435 E Baseline Rd,Phoenix,AZ,85042,33.376012,-112.029304,,Propane Tank Exchange,False
Walmart,2435 E Baseline Rd,Phoenix,AZ,85042,33.376012,-112.029304,,Propane Tank Exchange,True
Walmart,6150 S 35th Ave,Phoenix,AZ,85041,33.390463,-112.136688,,Propane Tank Exchange,True
Circle K,4801 E Thomas Rd,Phoenix,AZ,85018,33.479813,-111.97775,,Propane Tank Exchange,False
Circle K,302 N 52nd Street,Phoenix,AZ,85008,33.451236,-111.970158,,Propane Tank Exchange,False
Circle K,5049 W Buckeye Rd,Phoenix,AZ,85043,33.436259,-112.168963,,Propane Tank Exchange,False
Circle K,3930 E Southern Ave,Phoenix,AZ,85040,33.392969,-111.995752,,Propane Tank Exchange,False
Circle K,5105 W McDowell Road,Phoenix,AZ,85035,33.465641,-112.169656,,Propane Tank Exchange,False
Circle K,5146 E McDowell Rd,Phoenix,AZ,85008,33.46604,-111.970248,,Propane Tank Exchange,False
