Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Previous Registration,MFR Year,EIS Date,Current Airframe Hours,Previous Country,Days On Market,Ask Price (M),Ask Price_MO,Sale Price,Sale Price_TBD,Sale Date,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband 
08/05/2025,275,Gulfstream G200, ,141,N710RH,2006,01-12-2006,"9,230",US,266,3.95,,3.5,,04/03/2025,ESP-G,9, , , , , , ,Yes, , 
08/05/2025,209,Global 6000, ,9729,VP-CGL,2015,01-05-2017,"1,415",VG,239,31.95,,31.3,,24/07/2024,RRCC,13, , , , , , , , , 
08/05/2025,324,Global 5000, ,9372,N776SV,2009,01-06-2010,"3,515",US,576,,Yes,14.3,,12/03/2025,RRCC,13, , , , , , , ,Yes, 
08/05/2025,182,Falcon 900EXy, ,269,N115RL,2013,01-06-2013,"3,310",US,148,24.95,,22.6,,26/06/2024,MSP-G,14, , , , , , , ,Yes,Yes
08/05/2025,223,Falcon 900B, ,125,N85KB,1992,01-11-1994,"4,985",US,275,,Yes,,Yes,05/03/2025,MSP-G,14, , , , , , , , , 
08/05/2025,179,Falcon 7X, ,137,N111HZ,2011,01-12-2011,"4,310",US,0,,Yes,20.5,,18/07/2024,ESP-P,13, , , , , , , ,Yes,Yes
08/05/2025,282,Falcon 50, ,220,N800TA,1991,01-11-1991,"8,000",US,149,2.59,,1.95,,06/11/2024,MSP-G,10, , , , , , , , , 
08/05/2025,198,Falcon 2000EXy, ,074,N925BC,2005,01-04-2006,"5,465",US,109,10.75,,10.0,,10/12/2024,ESP-G,10, , , , , , , ,Yes, 
08/05/2025,262,Falcon 2000, ,174,N53NJ,2001,01-01-2002,"14,065",US,192,,Yes,2.8,,27/12/2024,JSSI,10, , , , , ,Yes, , , 
08/05/2025,115,Embraer Phenom 300, ,149,N308AV,2013,01-12-2013,"4,915",US,158,7.52,,6.85,,18/11/2024,ESP-P,7, , , , , , , , , 
08/05/2025,180,Embraer Phenom 100, ,129,N43EP,2010,01-04-2010,"2,515",US,175,,Yes,,Yes,31/12/2024,ESP-P,4, , , , , , , , , 
08/05/2025,158,Challenger 300, ,344,N88HD,2011,01-04-2012,"3,800",US,47,13.0,,12.7,,28/10/2024,MSP,8, , , , , ,Yes, , , 
08/05/2025,188,Challenger 350, ,828,D-BDDE,2019,01-12-2019,"1,780",DE,260,19.0,,18.65,,25/10/2024,JSSI,8, , , , , , , , ,Yes
08/05/2025,153,Citation CJ3, ,191,N379DB,2007,01-10-2007,"12,390",US,274,3.49,,3.1,,04/03/2025,TAP Blue,6, , , , , , , , , 
08/05/2025,172,Citation CJ2, ,221,N27VQ,2005,01-01-2005,"3,690",US,305,3.17,,2.85,,27/12/2024,TAP Blue,7, , , , , , , , , 
08/05/2025,119,Citation CJ3+, ,728,N728CJ,2024,01-06-2024,190,US,61,10.99,,10.3,,04/09/2024,TAP Blue,6, , , , , , , , , 
08/05/2025,160,Citation CJ4, ,362,D-CSRM,2021,01-09-2021,"1,215",DE,101,10.85,,10.4,,27/06/2024,Textron TA,8, , , , , , , , , 
08/05/2025,194,Hawker 800XP, ,585,N585VC,2002,01-01-2004,"11,935",US,133,2.24,,1.9,,21/05/2024,JSSI,8, , , , , , , , , 
08/05/2025,260,Gulfstream GIVSP, ,1433,N403JS,2000,01-10-2001,"10,575",US,63,,Yes,5.25,,17/01/2025,RRCC,13, , , , , ,Yes, , , 
08/05/2025,195,Gulfstream G650,Yes,6310,N2E,2018,01-06-2018,"2,470",US,117,46.9,,46.7,,23/12/2024,RRCC,14, , ,Yes, , , , , ,Yes
08/05/2025,194,Gulfstream G550, ,5185,P4-GVV,2008,01-06-2008,"5,025",CZ,241,17.95,,16.9,,28/02/2025,RRCC,17, , , , , , , , , 
08/05/2025,229,Gulfstream G450, ,4217,N241CH,2011,01-07-2011,"3,150",US,87,,Yes,14.4,,31/12/2024,RRCC,14, , ,Yes, , , , , , 
08/05/2025,108,Gulfstream G280, ,2216,N280JC,2020,01-04-2021,"1,090",US,41,,Yes,19.5,,26/12/2024,MSP-G,9, , , , , , , , ,Yes
08/05/2025,275,Gulfstream G200, ,144,N597NE,2006,01-12-2006,"5,070",US,123,,Yes,4.5,,15/04/2025,ESP-G,9, , , , , , , , , 
08/05/2025,209,Global 6000, ,9733,N610SW,2015,01-09-2016,"2,935",US,126,29.9,,29.5,,11/07/2024,RRCC,13, , ,Yes, , , , , , 
08/05/2025,324,Global 5000, ,9398,N934J,2010,01-05-2011,"3,940",US,287,,Yes,15.9,,12/08/2024,RRCC,14, , , , , , , , , 
08/05/2025,182,Falcon 900EXy, ,272,N40LB,2013,01-12-2013,"3,620",US,239,21.49,,20.9,,30/12/2024,MSP-G,14,Yes, , , , , , ,Yes, 
08/05/2025,223,Falcon 900B, ,138,N345SK,1994,01-08-1994,"5,795",US,161,5.4,,4.8,,12/11/2024,MSP-G,12, , , , , , , , ,Yes
08/05/2025,179,Falcon 7X, ,164,N888D,2012,01-10-2012,"3,300",US,86,25.8,,,Yes,25/09/2024,ESP-G,14, , , , , , , ,Yes, 
08/05/2025,198,Falcon 2000EXy, ,075,N222JS,2005,01-05-2006,"4,975",US,69,,Yes,,Yes,26/12/2024,ESP-G,8, , , , , , , , ,Yes
08/05/2025,262,Falcon 2000, ,178,N704JD,2002,01-05-2002,"7,175",US,433,4.95,,4.1,,01/08/2024,MSP-G,10, , , , , , ,Yes, , 
08/05/2025,115,Embraer Phenom 300, ,191,N715DE,2014,01-07-2014,"2,225",US,63,8.69,,8.1,,13/09/2024,JSSI,8, , , , , , , , , 
08/05/2025,180,Embraer Phenom 100, ,134,OK-VAN,2010,01-05-2010,"3,585",CZ,303,2.1,,1.75,,02/11/2024,ESP-G,4, , , , , , , , , 
08/05/2025,158,Challenger 300, ,349,N607RP,2011,01-05-2012,"5,120",US,162,12.29,,11.5,,13/08/2024,MSP,8, , , , , , , ,Yes, 
08/05/2025,188,Challenger 350, ,842,N708Q,2020,01-08-2020,"2,245",US,413,,Yes,19.99,,06/12/2024,MSP-G,9, , , , , , , ,Yes, 
08/05/2025,153,Citation CJ3, ,238,N525CR,2008,01-05-2008,"7,215",US,70,4.89,,4.6,,06/06/2024,Textron TA,7, , , , , , , , , 
08/05/2025,172,Citation CJ2, ,225,N67CC,2005,01-03-2005,"3,045",US,149,3.49,,3.3,,06/03/2025,TAP Blue,6, , , , , , , , , 
08/05/2025,160,Citation CJ4, ,366,N38MY,2021,01-11-2021,880,US,180,11.25,,10.5,,17/07/2024,,8, , , , , , , , , 
08/05/2025,194,Hawker 800XP, ,588,N799S,2002,01-11-2002,"7,515",US,161,,Yes,2.8,,11/11/2024,MSP,8, , , , , , , , , 
08/05/2025,260,Gulfstream GIVSP, ,1436,N218JE,2001,01-06-2001,"18,365",US,105,,Yes,3.0,,28/06/2024,RRCC,13, , , , , , , ,Yes, 
08/05/2025,195,Gulfstream G650,Yes,6318,VP-CGP,2018,01-07-2018,"2,075",KY,301,,Yes,44.0,,16/09/2024,RRCC,14, , ,Yes, , , , , , 
08/05/2025,194,Gulfstream G550, ,5189,OK-VPI,2008,01-09-2008,"6,950",CZ,578,17.47,,16.5,,09/09/2024,RRCC,16, , , , , , , , , 
08/05/2025,229,Gulfstream G450, ,4222,N280BC,2011,01-09-2011,"4,150",US,104,,Yes,13.25,,25/09/2024,RRCC,13,Yes, ,Yes, , ,Yes, , ,Yes
08/05/2025,108,Gulfstream G280, ,2233,N411MR,2021,01-05-2022,780,US,48,22.95,,22.0,,04/06/2024,MSP-G,9, , , , , , , ,Yes, 
08/05/2025,275,Gulfstream G200, ,147,N603RF,2006,01-03-2007,"3,600",US,150,,Yes,5.3,,05/09/2024,ESP-G,9, , , , , , , ,Yes, 
08/05/2025,209,Global 6000, ,9765,N785D,2016,01-06-2017,"2,080",US,290,,Yes,29.5,,21/03/2025,,13,Yes, , , , , , , , 
08/05/2025,324,Global 5000, ,9400,N445DB,2010,01-03-2011,"3,695",US,213,14.49,,14.0,,07/06/2024,RRCC,13, , , , , , , ,Yes, 
08/05/2025,182,Falcon 900EXy, ,295,N932CC,2015,01-01-2018,"2,025",US,261,25.25,,25.1,,05/09/2024,MSP-G,14, , , , , , , ,Yes,Yes
08/05/2025,223,Falcon 900B, ,144,N910SC,1994,01-01-1995,"6,370",US,71,,Yes,,Yes,19/02/2025,,12, , , , , , , ,Yes, 
08/05/2025,179,Falcon 7X, ,165,9H-RFAP,2012,01-10-2012,"3,460",US,218,25.0,,23.0,,31/10/2024,ESP-G,13, , , , , , , , ,Yes
08/05/2025,198,Falcon 2000EXy, ,114,N925PF,2007,01-12-2008,"5,970",US,135,9.95,,9.45,,27/11/2024,ESP-G,8, , , , , , , ,Yes, 
08/05/2025,262,Falcon 2000, ,186,N98RP,2002,01-07-2002,"7,365",US,121,4.79,,4.5,,31/01/2025,JSSI,10, , , , , ,Yes, , , 
08/05/2025,115,Embraer Phenom 300, ,197,N31SS,2014,01-03-2014,"1,450",US,91,,Yes,7.75,,27/12/2024,ESP-G,6, , , , , , , , , 
08/05/2025,180,Embraer Phenom 100, ,135,XB-DMR,2010,01-12-2010,"8,475",MX,235,1.97,,1.77,,15/10/2024,JSSI,4, , , , , , ,Yes, , 
08/05/2025,158,Challenger 300, ,357,N270JH,2012,01-08-2012,"3,595",US,91,12.9,,12.3,,26/11/2024,MSP-G,9, , , , , , , ,Yes, 
08/05/2025,188,Challenger 350, ,855,N131KR,2020,01-08-2020,"1,255",US,218,21.95,,20.5,,22/11/2024,MSP-G,9, , , , , , , ,Yes, 
08/05/2025,153,Citation CJ3, ,252,N99RE,2008,01-06-2008,"2,810",US,65,,Yes,5.75,,26/07/2024,TAP Blue,7, , , , , , , , , 
08/05/2025,172,Citation CJ2, ,229,D-IBET,2005,01-06-2005,"6,020",DE,228,3.45,,3.2,,31/05/2024,Textron TA,6, , , , , , , , , 
08/05/2025,160,Citation CJ4, ,372,N372CZ,2022,01-03-2023,"1,430",US,238,10.5,,9.5,,24/01/2025,TAP Blue,8, , , , , , , , , 
08/05/2025,194,Hawker 800XP, ,590,N130YB,2002,01-02-2003,"7,000",US,67,,Yes,3.3,,24/06/2024,MSP-G,8, , , , , , , , , 
08/05/2025,260,Gulfstream GIVSP, ,1439,N145RT,2001,01-11-2001,"6,010",US,81,,Yes,6.0,,13/12/2024,RRCC,13,Yes,Yes, , , , , , , 
