Date Ingested,Avg. Market Time (days),Make Model,ER,Serial Number,Registration,MFR Year,EIS Date,Airframe Hours,Country,Time on Market (days),Ask Price (M),Ask Price_MO,Engine Program Type,Passengers,Collins Venue CMS,Ku-band Internet,Ka-band internet,Starlink,BBML,GoGo Biz ATG-4000,GoGo Biz ATG-5000,Gogo Biz Avance L5,SwiftBroadband
17/04/2025,223,Challenger 604, ,5440,N618JJ,2000,01-09-2001,"11,940",US,622,5.35,,OnPoint,9, , , , , , ,Yes, , 
17/04/2025,218,Citation CJ2, ,195,OE-FAF,2004,01-01-2004,"8,740",AT,132,2.95,,TAP Elite,7, , , , , , , , , 
17/04/2025,255,Challenger 605, ,5916,N732PA,2012,01-05-2013,"3,950",US,219,15.49,,OnPoint,12, , , , , , , ,Yes, 
17/04/2025,223,Challenger 604, ,5458,C-GZPX,2000,01-11-2002,"6,680",CA,366,5.95,,OnPoint,10, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,200,N200FT,2004,01-04-2004,"5,320",US,6,,Yes,TAP Blue,6, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5481,N5481T,2001,01-06-2001,"7,805",US,80,,Yes,OnPoint,10, , , , , , , ,Yes, 
17/04/2025,218,Citation CJ2, ,203,N460RV,2004,01-04-2004,"5,445",US,153,3.7,,Textron TA,6, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5483,N956PP,2001,01-01-2001,"10,925",US,125,4.95,,OnPoint,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,204,D-ICBA,2004,01-05-2004,"7,230",DE,304,2.97,,TAP Elite,6, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5485,N82RL,2001,01-08-2001,"8,460",US,177,5.5,,OnPoint,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,206,F-HJJV,2004,01-06-2004,"6,140",FR,294,2.09,,,7, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5498,N226MY,2001,01-12-2001,"9,575",US,195,6.2,,OnPoint,9, , , , , , ,Yes, , 
17/04/2025,218,Citation CJ2, ,221,N27VQ,2005,01-01-2005,"3,660",US,20,,Yes,TAP Blue,7, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5503,N503PC,2001,01-12-2001,"9,190",US,16,5.99,,JSSI,10, , , , , , , ,Yes, 
17/04/2025,218,Citation CJ2, ,231,N406LA,2005,01-08-2005,"4,600",US,90,3.45,,TAP Blue,6, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5543,P4-EYE,2002,01-07-2002,"13,550",AW,330,6.0,,OnPoint,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,237,N333BD,2005,01-11-2005,"7,370",US,50,3.19,,TAP Blue,6, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5544,N814PS,2002,01-07-2002,"8,970",US,507,5.3,,OnPoint,9, , , , , , , , , 
17/04/2025,218,Citation CJ2, ,239,G-NOCM,2005,01-11-2005,"7,510",GB,282,3.25,,TAP Blue,6, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5583,A6-RAS,2004,01-12-2004,"6,130",AE,233,,Yes,OnPoint,9, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5631,N345XB,2005,01-06-2006,"4,840",US,189,,Yes,OnPoint,11, , , , , , , ,Yes, 
17/04/2025,223,Challenger 604, ,5651,HB-JRQ,2006,01-05-2006,"7,015",CH,156,,Yes,JSSI,11, , , , , , , , , 
17/04/2025,223,Challenger 604, ,5658,OE-LJS,2006,01-03-2007,"6,990",AT,111,,Yes,OnPoint,9, , , , , , , , ,Yes
