Name,SKU,Price,Sale Price,Weight (Kg),Brand,Warrenty,Size,Material,Available Quantity,Product URL
"Gurulós ruhaállvány, fekete 92-132x45x160cm",HSR13BKV1,"19,200 (Ft)","15,400 (Ft)",5,SONGMICS,1 év,92—132x45.5x160cm,Acél,4,https://www.deco24.hu/songmics-gurulos-ruhaallvany-fekete-92-132x45x160cm
"Esernyőtartó téglalap alakú mintás, akasztókkal, fekete 28x12x41cm",LUC004B01,"13,900 (Ft)","11,100 (Ft)",2,SONGMICS,1 év,28.5x12.2x41cm,,2,https://www.deco24.hu/Esernyotarto-negyzet-alaku-mintas-akasztokkal-feke
"Szövet ruhatároló szekrény hordozható gardrób, fekete 88x45x168cm",RYG84H,"16,900 (Ft)","13,500 (Ft)",3,SONGMICS,1 év,88x45x168cm,"Acél, Nem szőtt szövet, Műanyag",4,https://www.deco24.hu/songmics-szovet-ruhatarolo-szekreny-hordozhato-gardrob-fekete-88x45x168cm
"Szelektív szemeteskuka 2x30L, ezüst",LTB60NL,"61,800 (Ft)","49,400 (Ft)",10,SONGMICS,1 év,58.6x32x65cm,"Egyéb (rozsdamentes acél), Polipropilén (PP), Akrilonitril-Butadién-Sztirol műanyag (ABS)",4,https://www.deco24.hu/songmics-szelektiv-szemeteskuka-2x30l-ezust
Bambusz laptop asztal állítható magasság 55x35cm,LLD01N,"16,600 (Ft)","13,300 (Ft)",3,SONGMICS,1 év,55x35x(21-29)cm,Bambusz,5,https://www.deco24.hu/songmics-bambusz-laptop-asztal-allithato-magassag-55x35cm
"Konyhai állópolc 6 polcszinttel, 6 akasztóval, rusztikus barna 80x40x167cm",KKS019B01,"45,300 (Ft)","34,000 (Ft)",20,VASAGLE,1 év,80x40x167cm,"Forgácslap, Acél",17,https://www.deco24.hu/vasagle-konyhai-allopolc-6-polcszinttel-6-akasztoval-rusztikus-barna-80x40x167cm
"Tároló polc gyerekszobába, gyerek könyvespolc 93x30x100cm",GKR42WT,"39,000 (Ft)","29,300 (Ft)",18,SONGMICS,1 év,93.0x30.0x100.0cm,"Forgácslap, Nem szőtt szövet",15,https://www.deco24.hu/songmics-tarolo-polc-gyerekszobaba-gyerek-konyvespolc-93x30x100cm
"Ruhaállvány gurulós 90kg teherbírású, ezüst",HSR13S,"19,000 (Ft)","13,300 (Ft)",5,SONGMICS,1 év,92—132x45.5x160cm,Acél,29,https://www.deco24.hu/Ruhaallvany-gurulos-90kg-teherbirasu-ezust
"Szövet cipőtároló szekrény, fekete 58x28x160cm",RXJ10H01,"12,800 (Ft)","10,200 (Ft)",2,SONGMICS,1 év,58x28x160cm,"Acél, Nem szőtt szövet, Műanyag",1,https://www.deco24.hu/songmics-szovet-cipotarolo-szekreny-fekete-58x28x160cm
"Előszoba fogas polccal, akasztókkal, cipőtartóval és ülőkével, rusztikus dió 70x32x175cm",HSR041B41,"28,900 (Ft)","23,100 (Ft)",8,VASAGLE,1 év,70x32.5x175cm,"Forgácslap, Vas",2,https://www.deco24.hu/vasagle-eloszoba-fogas-polccal-akasztokkal-cipotartoval-es-ulokevel-rusztikus-dio-70x32x175cm
"Sarokpolc 5 szintes lebegő fali polc, greige 20x20x127cm",LBC072M01,"10,100 (Ft)","8,190 (Ft)",4,VASAGLE,1 év,20x20x127.5cm,Forgácslap,3,https://www.deco24.hu/vasagle-sarokpolc-5-szintes-lebego-fali-polc-greige-20x20x127cm
"Konzolasztal fém vázzal edzett üveglappal, arany 100x35x80cm",LGT26G,"24,100 (Ft)","19,300 (Ft)",7,VASAGLE,1 év,100x35x80cm,"Acél, Üveg",2,https://www.deco24.hu/vasagle-konzolasztal-fem-vazzal-edzett-uveglappal-arany-100x35x80cm
"Magas tároló szekrény, fürdőszoba szekrény, fehér 30x30x141cm",BBC66WT,"34,900 (Ft)","27,900 (Ft)",13,VASAGLE,1 év,30x30x141.5cm,MDF (Közepes Sűrűségű Rostlemez),1,https://www.deco24.hu/vasagle-magas-tarolo-szekreny-furdoszoba-szekreny-feher-30x30x141cm
