Title,price,saving,discountData,productLink,quantityPrice,category
Sultaninen dunkel,1.05,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/doerrfruechte/sultaninen-dunkel/p/6753751,0.35/100g,Süsses & Snacks
Seeberger Datteln entsteint,3.6,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/doerrfruechte/seeberger-datteln-entsteint/p/4390310,1.80/100g,Süsses & Snacks
Tuc Cracker Original,4.9,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/cracker/tuc-cracker-original/p/3152769,1.63/100g,Süsses & Snacks
Prix Garantie Fairtrade Tafelschokolade Milch,0.7,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/tafelschokolade/milch/prix-garantie-fairtrade-tafelschokolade-milch/p/5933796,0.70/100g,Süsses & Snacks
Seeberger Mango getrocknet,4.9,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/doerrfruechte/seeberger-mango-getrocknet/p/4390395,4.90/100g,Süsses & Snacks
Lotus Biscoff Caramelbiscuit,2.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/guetzli-ohne-schokolade/weitere-guetzli/lotus-biscoff-caramelbiscuit/p/3357336,1.18/100g,Süsses & Snacks
Chio Jumpy's sunny Paprika,2.85,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/flips-puff-chips/chio-jumpy-s-sunny-paprika/p/3376576,2.85/100g,Süsses & Snacks
Kambly Bretzeli,3.55,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/guetzli-ohne-schokolade/weitere-guetzli/kambly-bretzeli/p/3002344,3.09/100g,Süsses & Snacks
Fairtrade Halba Branches classic 70x23g,14.95,30.8,51%,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/schokoladen-riegel-snacks/schokoladenriegel/fairtrade-halba-branches-classic-70x23g/p/6694453,0.93/100g,Süsses & Snacks
Lindt Excellence Dunkel 70% Cacao Tafelschokolade,3.5,,30% ab 3,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/tafelschokolade/dunkel/lindt-excellence-dunkel-70-cacao-tafelschokolade/p/3000309,3.50/100g,Süsses & Snacks
Fairtrade High Protein Crème Choco,2.05,,,https://www.coop.ch/de/lebensmittel/milchprodukte-eier/desserts-creme/creme-mousse/fairtrade-high-protein-creme-choco/p/6660422,1.03/100g,Süsses & Snacks
Zweifel Graneo Mild Chili,2.95,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/nachos-graneos/zweifel-graneo-mild-chili/p/3846303,2.95/100g,Süsses & Snacks
Zweifel Chips Wave Inferno,2.95,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/paprika-chili-chips/zweifel-chips-wave-inferno/p/3393585,2.46/100g,Süsses & Snacks
"Pistazien geröstet & gesalzen, ohne Öl & Fett",8.4,,30% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/gesalzene-nuesse/mandeln-pistazien/pistazien-geroestet-gesalzen-ohne-oel-fett/p/3153282,1.68/100g,Süsses & Snacks
Naturaplan Bio Tortilla Chips Nature,3.4,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/nature-chips/naturaplan-bio-tortilla-chips-nature/p/6435702,2.27/100g,Süsses & Snacks
Kinder Bueno Riegel 3x43g,2.6,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/schokoladen-riegel-snacks/schokoladenriegel/kinder-bueno-riegel-3x43g/p/3003187,2.02/100g,Süsses & Snacks
Tyrrells Chips Salt & Vinegar,4.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/vinegar-gewuerz-chips/tyrrells-chips-salt-vinegar/p/4076519,3.30/100g,Süsses & Snacks
Naturaplan Bio Fairtrade Datteln,2.95,,20% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/doerrfruechte/naturaplan-bio-fairtrade-datteln/p/6377057,1.48/100g,Süsses & Snacks
Chio Maxi Mix 250G,3.85,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/salzgebaeck/chio-maxi-mix-250g/p/3152086,1.54/100g,Süsses & Snacks
Naturaplan Bio Flûtes gesalzen,3.5,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/flutes-blaetterteiggebaeck/naturaplan-bio-flutes-gesalzen/p/3479421,2.80/100g,Süsses & Snacks
Naturaplan Bio Pekannusskerne,5.3,,20% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/nuesse-kerne/naturaplan-bio-pekannusskerne/p/6762334,3.53/100g,Süsses & Snacks
Kinder Country Riegel 9x23g,3.5,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/schokoladen-riegel-snacks/schokoladenriegel/kinder-country-riegel-9x23g/p/3004942,1.65/100g,Süsses & Snacks
Prix Garantie Müsli Riegel Schoko 8x25g,1.9,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/getreideriegel/riegel-mit-schokolade/prix-garantie-muesli-riegel-schoko-8x25g/p/6590245,0.95/100g,Süsses & Snacks
Haribo Gummibonbons Goldbären,2.4,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/bonbons/gummibonbons/haribo-gummibonbons-goldbaeren/p/3652835,0.69/100g,Süsses & Snacks
Pekannüsse,3.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/nuesse-kerne/pekannuesse/p/6378893,2.63/100g,Süsses & Snacks
Country Riegel Peanut Choco Chips 6x26g,2.8,3.5,20%,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/getreideriegel/riegel-mit-schokolade/country-riegel-peanut-choco-chips-6x26g/p/7115588,1.79/100g,Süsses & Snacks
Cailler Dessert dunkle Schokolade Tafel,4.2,,,https://www.coop.ch/de/lebensmittel/vorraete/backzutaten/klassische-backzutaten/kochschokolade/cailler-dessert-dunkle-schokolade-tafel/p/3951461,2.10/100g,Süsses & Snacks
Zweifel Graneo Original,2.95,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/nachos-graneos/zweifel-graneo-original/p/3846300,2.95/100g,Süsses & Snacks
Zweifel Chips Snacketti Paprika Shells,1.95,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/flips-puff-chips/zweifel-chips-snacketti-paprika-shells/p/3153209,2.60/100g,Süsses & Snacks
Baumnusshälften,3.8,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/nuesse-kerne/baumnusshaelften/p/6520175,2.92/100g,Süsses & Snacks
Fairtrade High Protein Crème Vanille,2.05,,,https://www.coop.ch/de/lebensmittel/milchprodukte-eier/desserts-creme/creme-mousse/fairtrade-high-protein-creme-vanille/p/6660452,1.03/100g,Süsses & Snacks
Zweifel Chips Paprika 3x30g,3.95,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/paprika-chili-chips/zweifel-chips-paprika-3x30g/p/5759291,4.39/100g,Süsses & Snacks
Chio Stickletti,2.2,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/salzgebaeck/chio-stickletti/p/6698522,1.10/100g,Süsses & Snacks
Lu Prince Doppel-Guezli mit Schokoladenfüllung,2.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/guetzli-mit-schokolade/schokolade-als-zutat/lu-prince-doppel-guezli-mit-schokoladenfuellung/p/3757210,0.98/100g,Süsses & Snacks
Prix Garantie Milchbrötli mit Schokolade 8 Stück,2.6,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/suesse-broetchen-panettone/prix-garantie-milchbroetli-mit-schokolade-8-stueck/p/6638079,0.93/100g,Süsses & Snacks
Lu Mikado mit Milchschokolade,2.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/guetzli-mit-schokolade/ueberzogen-mit-schokolade/lu-mikado-mit-milchschokolade/p/3439698,3.93/100g,Süsses & Snacks
Kägi Crisp'n Cream Milk,2.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/hueppen-waffeln-laeckerli/kaegi-crisp-n-cream-milk/p/7276775,2.68/100g,Süsses & Snacks
Naturaplan Bio Popcorn Mais,1.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/popcorn/naturaplan-bio-popcorn-mais/p/3154106,0.49/100g,Süsses & Snacks
Naturaplan Bio Haselnüsse ganz,3.95,,20% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/nuesse-kerne/naturaplan-bio-haselnuesse-ganz/p/6378900,1.98/100g,Süsses & Snacks
Zweifel Chips Nature 3x30g,3.95,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/nature-chips/zweifel-chips-nature-3x30g/p/5759110,4.39/100g,Süsses & Snacks
Pringles Sour Cream and Onion,3.3,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/vinegar-gewuerz-chips/pringles-sour-cream-and-onion/p/7253780,1.78/100g,Süsses & Snacks
Zweifel Cractiv Chips Nature,3.8,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/nature-chips/zweifel-cractiv-chips-nature/p/3275202,2.38/100g,Süsses & Snacks
Lindt Tafelschokolade Milch,2.6,,30% ab 3,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/tafelschokolade/milch/lindt-tafelschokolade-milch/p/3002226,2.60/100g,Süsses & Snacks
Prix Garantie Pains au chocolat 8 Stück,2.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/suesse-broetchen-panettone/prix-garantie-pains-au-chocolat-8-stueck/p/6638578,0.82/100g,Süsses & Snacks
Knoppers 8x25g,3.3,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/guetzli-suessgebaeck/hueppen-waffeln-laeckerli/knoppers-8x25g/p/3001283,1.65/100g,Süsses & Snacks
Zweifel Chips Provençale,2.5,,25% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/chips-popcorn/vinegar-gewuerz-chips/zweifel-chips-provencale/p/3520736,2.78/100g,Süsses & Snacks
Gran Pavesi Cracker Salati,2.2,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/cracker/gran-pavesi-cracker-salati/p/3726388,0.88/100g,Süsses & Snacks
Lindt Sensation Fruit Dunkel Himbeere & Cranberry,5.95,,,https://www.coop.ch/de/lebensmittel/suesses-snacks/schokolade-suessigkeiten/schokoladen-riegel-snacks/schokoladensnacks/lindt-sensation-fruit-dunkel-himbeere-cranberry/p/5873744,3.97/100g,Süsses & Snacks
Naturaplan Bio Feigen,3.5,,20% ab 2,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/trockenfruechte-nuesse/doerrfruechte/naturaplan-bio-feigen/p/6378627,1.75/100g,Süsses & Snacks
Fine Food Flûtes Gruyére & Spinat,2.95,3.7,20%,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/salzgebaeck-flutes/flutes-blaetterteiggebaeck/fine-food-flutes-gruyere-spinat/p/3525634,2.95/100g,Süsses & Snacks
Country Riegel Choco Apple 9x28g,3.15,3.95,20%,https://www.coop.ch/de/lebensmittel/suesses-snacks/chips-snacks/getreideriegel/riegel-mit-schokolade/country-riegel-choco-apple-9x28g/p/6775226,1.25/100g,Süsses & Snacks
Gebührenkehrichtsack Köniz 35L 10 Stück,18.5,,,https://www.coop.ch/de/haushalt-tier/haushalt-kueche/kehrichtsaecke/kehrichtsaecke-gebuehrenpflichtig/gebuehrenkehrichtsack-koeniz-35l-10-stueck/p/4152592,1.85/1ST,Kehrichtsäcke gebührenpflichtig
Gebührenkehrichtsack Stadt Bern 17L 10 Stück,7.05,,,https://www.coop.ch/de/haushalt-tier/haushalt-kueche/kehrichtsaecke/kehrichtsaecke-gebuehrenpflichtig/gebuehrenkehrichtsack-stadt-bern-17l-10-stueck/p/3621728,0.71/1ST,Kehrichtsäcke gebührenpflichtig
Gebührenkehrichtsack Rapperswil 35L 10 Stück,19,,,https://www.coop.ch/de/haushalt-tier/haushalt-kueche/kehrichtsaecke/kehrichtsaecke-gebuehrenpflichtig/gebuehrenkehrichtsack-rapperswil-35l-10-stueck/p/3607037,1.90/1ST,Kehrichtsäcke gebührenpflichtig
Gebührenkehrichtsack Wallisellen 35L 10 Stück,18.5,,,https://www.coop.ch/de/haushalt-tier/haushalt-kueche/kehrichtsaecke/kehrichtsaecke-gebuehrenpflichtig/gebuehrenkehrichtsack-wallisellen-35l-10-stueck/p/3385116,1.85/1ST,Kehrichtsäcke gebührenpflichtig
