Team,Category,Date,vs,Opp,Game Result,Team Pts,Opp Pts,Spread,eFG #,eFG %,Rim #,Rim %,Short Mid #,Short Mid %,Long Mid #,Long Mid %,All Mid #,All Mid %,Corner Three #,Corner Three %,Non Corner #,Non Corner %,All Three #,All Three %,Pts/Poss %,Pts/Poss #,ALL TRANSITION Pts+/Poss %,ALL TRANSITION Pts+/Poss #,ALL TRANSITION Freq #,ALL TRANSITION Freq %,ALL TRANSITION Pts/Poss %,ALL TRANSITION Pts/Poss #,OFF STEALS Pts+/Poss %,OFF STEALS Pts+/Poss #,OFF STEALS Freq #,OFF STEALS Freq %,OFF STEALS Pts/Poss %,OFF STEALS Pts/Poss #,OFF LIVE REBOUNDS Pts+/Poss %,OFF LIVE REBOUNDS Pts+/Poss #,OFF LIVE REBOUNDS Freq #,OFF LIVE REBOUNDS Freq %,OFF LIVE REBOUNDS Pts/Poss %,OFF LIVE REBOUNDS Pts/Poss #
ATL,Offense: Shooting Frequency,01/07/24,@,ORL,L,110,117,-2.5,26,51.1%,78,39.2%,58,22.7%,39,7.2%,48,29.9%,50,9.3%,20,21.6%,23,30.9%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/05/24,@,IND,L,116,150,+2.5,7,45.2%,18,25.8%,90,31.2%,6,3.2%,70,34.4%,66,10.8%,66,29.0%,69,39.8%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,01/03/24,vs.,OKC,W,141,138,-1.0,73,59.1%,65,36.2%,53,21.9%,33,6.7%,41,28.6%,34,7.6%,58,27.6%,45,35.2%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/31/23,@,WAS,W,130,126,-6.5,55,55.8%,8,21.6%,97,37.3%,45,7.8%,95,45.1%,46,8.8%,36,24.5%,34,33.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/29/23,vs.,SAC,L,110,117,+1.5,14,47.8%,64,36.0%,34,19.0%,5,3.0%,12,22.0%,97,17.0%,38,25.0%,80,42.0%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/26/23,@,CHI,L,113,118,-2.5,41,53.4%,39,30.9%,10,13.8%,41,7.4%,10,21.3%,81,12.8%,92,35.1%,96,47.9%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/23/23,vs.,MEM,L,119,125,-1.5,42,53.6%,52,33.7%,41,20.2%,10,3.8%,19,24.0%,71,11.5%,76,30.8%,81,42.3%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/22/23,@,MIA,L,113,122,-1.0,42,53.6%,2,15.8%,76,26.7%,10,4.0%,52,30.7%,98,17.8%,93,35.6%,100,53.5%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/20/23,@,HOU,W,134,127,+2.5,83,61.7%,27,28.6%,67,24.5%,38,7.1%,57,31.6%,69,11.2%,64,28.6%,70,39.8%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/18/23,vs.,DET,W,130,124,-11.5,89,63.5%,82,40.2%,15,15.2%,22,5.4%,9,20.7%,75,12.0%,55,27.2%,66,39.1%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/16/23,@,CLE,L,119,127,+4.5,71,58.4%,27,28.4%,74,26.1%,46,8.0%,69,34.1%,98,18.2%,10,19.3%,57,37.5%,,,,,,,,,,,,,,,,,,,,
ATL,Offense: Shooting Frequency,12/15/23,@,TOR,W,125,104,+1.5,71,58.6%,9,22.0%,89,31.0%,36,7.0%,82,38.0%,38,8.0%,83,32.0%,70,40.0%,,,,,,,,,,,,,,,,,,,,
